name~location_id~city~state~awards~positive~uName~uLocation
Baked and Wired~456607~Washington DC~District of Columbia~Certificate of Excellence 2016~negative~JABRAKO~Huntley, Illinois
Baked and Wired~456607~Washington DC~District of Columbia~Certificate of Excellence 2016~positive~RaeshellJoye~Southfield, Michigan
Baked and Wired~456607~Washington DC~District of Columbia~Certificate of Excellence 2016~positive~COLWF~Atlanta, Georgia
Baked and Wired~456607~Washington DC~District of Columbia~Certificate of Excellence 2016~negative~Glennithy~Plum, Pennsylvania
Baked and Wired~456607~Washington DC~District of Columbia~Certificate of Excellence 2016~positive~atarzia~Belize
Baked and Wired~456607~Washington DC~District of Columbia~Certificate of Excellence 2016~negative~swatson9~Charlotte, North Carolina
Baked and Wired~456607~Washington DC~District of Columbia~Certificate of Excellence 2016~negative~Robert S~Toronto, Canada
Baked and Wired~456607~Washington DC~District of Columbia~Certificate of Excellence 2016~positive~John R~Mobile, Alabama
Baked and Wired~456607~Washington DC~District of Columbia~Certificate of Excellence 2016~negative~btyson11~Mishawaka, Indiana
Baked and Wired~456607~Washington DC~District of Columbia~Certificate of Excellence 2016~positive~Lily_rosenberg~West Bloomfield, Michigan
Baked and Wired~456607~Washington DC~District of Columbia~Certificate of Excellence 2016~positive~Benjamin H~Kennesaw, Georgia
Baked and Wired~456607~Washington DC~District of Columbia~Certificate of Excellence 2016~negative~JKLS333~Washington DC, District of Columbia
Bakery Nouveau~788105~Seattle~Washington~Certificate of Excellence 2016~positive~bubinask~Kenosha, Wisconsin
Bakery Nouveau~788105~Seattle~Washington~Certificate of Excellence 2016~positive~emendem323~Newport Beach, California
Bakery Nouveau~788105~Seattle~Washington~Certificate of Excellence 2016~negative~buttonjunkie~Seattle, Washington
Bakery Nouveau~788105~Seattle~Washington~Certificate of Excellence 2016~negative~aypowell~fairbanks
Bakery Nouveau~788105~Seattle~Washington~Certificate of Excellence 2016~negative~Gail S~Seattle, Washington
Bakery Nouveau~788105~Seattle~Washington~Certificate of Excellence 2016~negative~Alec D~Seattle, Washington
Bakery Nouveau~788105~Seattle~Washington~Certificate of Excellence 2016~negative~Chrystine K~Seattle, Washington, United States
Bakery Nouveau~788105~Seattle~Washington~Certificate of Excellence 2016~positive~wajody~Seattle, Washington
